,i_r1,name,type,time,OK
0,18.832349999999998,tran_SchGtKttmmTtVt_29,Sch,Thu Feb 13 20:56:05 2025,True
1,17.075779999999998,tran_SchGtKttmmTtVt_28,Sch,Thu Feb 13 20:56:04 2025,True
2,17.67977,tran_SchGtKttmmTtVt_27,Sch,Thu Feb 13 20:56:02 2025,True
3,18.54444,tran_SchGtKttmmTtVt_26,Sch,Thu Feb 13 20:56:01 2025,True
4,18.681350000000002,tran_SchGtKttmmTtVt_25,Sch,Thu Feb 13 20:56:00 2025,True
5,17.426660000000002,tran_SchGtKttmmTtVt_24,Sch,Thu Feb 13 20:55:59 2025,True
6,19.5712,tran_SchGtKttmmTtVt_23,Sch,Thu Feb 13 20:55:58 2025,True
7,18.25019,tran_SchGtKttmmTtVt_22,Sch,Thu Feb 13 20:55:57 2025,True
8,19.45769,tran_SchGtKttmmTtVt_21,Sch,Thu Feb 13 20:55:55 2025,True
9,17.468600000000002,tran_SchGtKttmmTtVt_20,Sch,Thu Feb 13 20:55:54 2025,True
10,18.05139,tran_SchGtKttmmTtVt_19,Sch,Thu Feb 13 20:55:53 2025,True
11,18.50619,tran_SchGtKttmmTtVt_18,Sch,Thu Feb 13 20:55:52 2025,True
12,17.90067,tran_SchGtKttmmTtVt_17,Sch,Thu Feb 13 20:55:51 2025,True
13,17.93138,tran_SchGtKttmmTtVt_16,Sch,Thu Feb 13 20:55:50 2025,True
14,17.54998,tran_SchGtKttmmTtVt_15,Sch,Thu Feb 13 20:55:48 2025,True
15,17.29325,tran_SchGtKttmmTtVt_14,Sch,Thu Feb 13 20:55:47 2025,True
16,19.280140000000003,tran_SchGtKttmmTtVt_13,Sch,Thu Feb 13 20:55:46 2025,True
17,18.57875,tran_SchGtKttmmTtVt_12,Sch,Thu Feb 13 20:55:45 2025,True
18,17.54423,tran_SchGtKttmmTtVt_11,Sch,Thu Feb 13 20:55:44 2025,True
19,18.250410000000002,tran_SchGtKttmmTtVt_10,Sch,Thu Feb 13 20:55:42 2025,True
20,19.62715,tran_SchGtKttmmTtVt_9,Sch,Thu Feb 13 20:55:41 2025,True
21,16.965780000000002,tran_SchGtKttmmTtVt_8,Sch,Thu Feb 13 20:55:40 2025,True
22,18.380799999999997,tran_SchGtKttmmTtVt_7,Sch,Thu Feb 13 20:55:39 2025,True
23,17.96171,tran_SchGtKttmmTtVt_6,Sch,Thu Feb 13 20:55:38 2025,True
24,18.22788,tran_SchGtKttmmTtVt_5,Sch,Thu Feb 13 20:55:36 2025,True
25,18.55215,tran_SchGtKttmmTtVt_4,Sch,Thu Feb 13 20:55:35 2025,True
26,18.74933,tran_SchGtKttmmTtVt_3,Sch,Thu Feb 13 20:55:34 2025,True
27,17.0944,tran_SchGtKttmmTtVt_2,Sch,Thu Feb 13 20:55:33 2025,True
28,18.54957,tran_SchGtKttmmTtVt_1,Sch,Thu Feb 13 20:55:32 2025,True
29,17.70978,tran_SchGtKttmmTtVt,Sch,Thu Feb 13 20:55:31 2025,True
